Source,Target,Type,Weight,RouteId,DirectionText,TripHeadSign,PathSeq
5004768,5002008,Directed,1,10A,NORTH,PENTAGON,1
5002008,5001815,Directed,1,10A,NORTH,PENTAGON,2
5001815,5002009,Directed,1,10A,NORTH,PENTAGON,3
5002009,5001816,Directed,1,10A,NORTH,PENTAGON,4
5001816,4000449,Directed,1,10A,NORTH,PENTAGON,5
4000449,4000010,Directed,1,10A,NORTH,PENTAGON,6
4000010,4000012,Directed,1,10A,NORTH,PENTAGON,7
4000012,4000025,Directed,1,10A,NORTH,PENTAGON,8
4000025,4000043,Directed,1,10A,NORTH,PENTAGON,9
4000043,4000074,Directed,1,10A,NORTH,PENTAGON,10
4000074,4000096,Directed,1,10A,NORTH,PENTAGON,11
4000096,4000104,Directed,1,10A,NORTH,PENTAGON,12
4000104,4000112,Directed,1,10A,NORTH,PENTAGON,13
4000112,4000478,Directed,1,10A,NORTH,PENTAGON,14
4000478,4001108,Directed,1,10A,NORTH,PENTAGON,15
4001108,4000479,Directed,1,10A,NORTH,PENTAGON,16
4000479,4000184,Directed,1,10A,NORTH,PENTAGON,17
4000184,4000194,Directed,1,10A,NORTH,PENTAGON,18
4000194,4000216,Directed,1,10A,NORTH,PENTAGON,19
4000216,4000235,Directed,1,10A,NORTH,PENTAGON,20
4000235,4000252,Directed,1,10A,NORTH,PENTAGON,21
4000252,4000266,Directed,1,10A,NORTH,PENTAGON,22
4000266,4000279,Directed,1,10A,NORTH,PENTAGON,23
4000279,4000309,Directed,1,10A,NORTH,PENTAGON,24
4000309,4000322,Directed,1,10A,NORTH,PENTAGON,25
4000322,4000329,Directed,1,10A,NORTH,PENTAGON,26
4000329,4000333,Directed,1,10A,NORTH,PENTAGON,27
4000333,4000354,Directed,1,10A,NORTH,PENTAGON,28
4000354,4000368,Directed,1,10A,NORTH,PENTAGON,29
4000368,4000383,Directed,1,10A,NORTH,PENTAGON,30
4000383,4000397,Directed,1,10A,NORTH,PENTAGON,31
4000397,4000420,Directed,1,10A,NORTH,PENTAGON,32
4000420,4000431,Directed,1,10A,NORTH,PENTAGON,33
4000431,4001073,Directed,1,10A,NORTH,PENTAGON,34
4001073,6000061,Directed,1,10A,NORTH,PENTAGON,35
6000061,6000071,Directed,1,10A,NORTH,PENTAGON,36
6000071,6000088,Directed,1,10A,NORTH,PENTAGON,37
6000088,6000121,Directed,1,10A,NORTH,PENTAGON,38
6000121,6000122,Directed,1,10A,NORTH,PENTAGON,39
6000122,6000126,Directed,1,10A,NORTH,PENTAGON,40
6000126,6000131,Directed,1,10A,NORTH,PENTAGON,41
6000131,6000132,Directed,1,10A,NORTH,PENTAGON,42
6000132,6000136,Directed,1,10A,NORTH,PENTAGON,43
6000136,6000146,Directed,1,10A,NORTH,PENTAGON,44
6000146,6000171,Directed,1,10A,NORTH,PENTAGON,45
6000171,6000187,Directed,1,10A,NORTH,PENTAGON,46
6000187,6000217,Directed,1,10A,NORTH,PENTAGON,47
6000217,6000212,Directed,1,10A,NORTH,PENTAGON,48
