Id,StopID,Name,Lat,Lon,Routes
1002585,1002585,WISCONSIN AVE NW + FESSENDEN ST NW,38.954858,-77.082833,"['30N', '30S', '31', '33']"
1002586,1002586,RIGGS RD NE + N CAPITOL ST NE,38.954876,-77.008307,"['64', 'E4', 'E4/', 'K2', 'K6', 'K6*2']"
1002587,1002587,MISSOURI AVE NW + NEW HAMPSHIRE AVE NW,38.954951,-77.009811,"['E4', 'E4/']"
1002588,1002588,1ST PL NE + RIGGS RD NE,38.955121,-77.004534,"['64', 'E4', 'E4*1', 'K2', 'K6', 'R1', 'R2']"
1002589,1002589,MISSOURI AVE NW + NEW HAMPSHIRE AVE NW,38.955145,-77.009968,"['E4', 'E4*1']"
1002590,1002590,RIGGS RD NE + ROCK CREEK CHURCH RD NE,38.955174,-77.006992,"['64', 'E4', 'E4/', 'K2', 'K6', 'K6*2']"
1002591,1002591,RIGGS RD NE + BLAIR RD NE,38.955279,-77.007154,"['64', 'E4', 'E4*1', 'K2', 'K6']"
1002592,1002592,14TH ST NW + JEFFERSON ST NW,38.955428,-77.033559,"['52', '52*1', '54', '54*1', '59']"
1002593,1002593,CHILLUM PL NE + 11TH ST NE,38.955414,-76.992143,['E4']
1002594,1002594,CHILLUM PL NE + #5312,38.955414,-76.994875,['E4']
1002595,1002595,14TH ST NW + COLORADO AVE NW,38.955584,-77.033301,"['52', '54', '54*S', '59']"
1002596,1002596,COLORADO AVE NW + 14TH ST NW,38.955773,-77.033244,"['52*1', '52/', 'D34']"
1002597,1002597,CONNECTICUT AVE NW + NEBRASKA AVE NW,38.955818,-77.07016,['L2']
1002598,1002598,NEBRASKA AVE NW + CONNECTICUT AVE NW,38.955762,-77.07076,"['D31', 'D32', 'D33', 'D34', 'M4', 'M4/', 'W45']"
1002599,1002599,GEORGIA AVE NW + KENNEDY ST NW,38.956047,-77.027891,"['70', '79']"
1002600,1002600,CHILLUM PL NE + EASTERN AVE NE,38.956122,-76.990411,['E4']
1002601,1002601,CONNECTICUT AVE NW + NEBRASKA AVE NW,38.956105,-77.070582,['L2']
1002602,1002602,KENNEDY ST NW + GEORGIA AVE NW,38.956167,-77.027611,"['E4', 'E4/']"
1002603,1002603,KENNEDY ST NW + 13TH ST NW,38.956164,-77.029882,"['E4', 'E4/']"
1002604,1002604,MISSOURI AVE NW + 2ND ST NW,38.956294,-77.013475,"['E4', 'E4*1']"
1002605,1002605,WESTERN AVE NW + RIVER RD NW,38.956238,-77.091408,['N6']
1002606,1002606,5TH ST NW + KENNEDY ST NW,38.956232,-77.019825,"['62', '63']"
1002607,1002607,KENNEDY ST NW + COLORADO AVE NW,38.956133,-77.032961,"['E4', 'E4/']"
1002608,1002608,KENNEDY ST NW + 9TH ST NW,38.956212,-77.025942,"['E4', 'E4/']"
1002609,1002609,KENNEDY ST NW + 13TH ST NW,38.956289,-77.029553,"['E4', 'E4*1']"
1002610,1002610,KENNEDY ST NW + GEORGIA AVE NW,38.956303,-77.027795,"['E4', 'E4*1']"
1002612,1002612,KENNEDY ST NW + 8TH ST NW,38.956271,-77.024157,"['E4', 'E4/']"
1002613,1002613,KENNEDY ST NW + 9TH ST NW,38.956353,-77.025613,"['E4', 'E4*1']"
1002614,1002614,NEBRASKA AVE NW + CONNECTICUT AVE NW,38.956345,-77.070064,"['D31', 'D33', 'D34', 'M4*1', 'W45']"
1002615,1002615,KENNEDY ST NW + 7TH ST NW,38.956319,-77.022447,"['E4', 'E4/']"
1002616,1002616,KENNEDY ST NW + 8TH ST NW,38.956406,-77.023923,"['E4', 'E4*1']"
1002617,1002617,GEORGIA AVE NW + KENNEDY ST NW,38.956362,-77.028165,"['70', '79*1']"
1002618,1002618,KENNEDY ST NW + 7TH ST NW,38.956457,-77.022187,"['E4', 'E4*1']"
1002619,1002619,KENNEDY ST NW + 5TH ST NW,38.956404,-77.019616,"['E4', 'E4/']"
1002620,1002620,KENNEDY ST NW + 5TH ST NW,38.956513,-77.020159,"['E4', 'E4*1']"
1002621,1002621,KENNEDY ST NW + 4TH ST NW,38.956451,-77.018009,"['E4', 'E4/']"
1002622,1002622,KENNEDY ST NW + 4TH ST NW,38.95657,-77.018064,"['E4', 'E4*1']"
1002623,1002623,KENNEDY ST NW + 3RD ST NW,38.956528,-77.015824,"['E4', 'E4/']"
1002624,1002624,5TH ST NW + KENNEDY ST NW,38.956612,-77.019964,"['62', '62*S1', '63']"
1002625,1002625,CHILLUM PL NE + KENNEDY ST NE,38.956627,-76.998423,['E4']
1002626,1002626,3RD ST NW + KENNEDY ST NW,38.956738,-77.016226,"['E4', 'E4*1']"
1002627,1002627,WISCONSIN AVE NW + HARRISON ST NW,38.956775,-77.083565,"['30N', '30S', '31', '33']"
1002628,1002628,RIGGS RD NE + SOUTH DAKOTA AVE NE,38.957042,-77.001943,"['E4', 'R1', 'R2']"
1002629,1002629,14TH ST NW + LONGFELLOW ST NW,38.957029,-77.033527,"['52', '54', 'D34', 'E4', 'E4/', 'W45']"
1002630,1002630,RIGGS RD NE + SOUTH DAKOTA AVE NE,38.957144,-77.002264,"['E4', 'R1', 'R2', 'R2*2']"
1002631,1002631,14TH ST NW + LONGFELLOW ST NW,38.957197,-77.033334,"['52', '54', '54*S', 'D34', 'E4', 'E4*1', 'W45']"
1002632,1002632,WISCONSIN AVE NW + HARRISON ST NW,38.957267,-77.084064,"['30N', '30S', '31', '33']"
1002633,1002633,5TH ST NW + LONGFELLOW ST NW,38.957436,-77.019869,"['62', '63']"
1002634,1002634,NEW HAMPSHIRE AVE NE + LONGFELLOW ST NE,38.957535,-77.008454,['K6']
1002635,1002635,CONNECTICUT AVE NW + HUNTINGTON ST NW,38.9576,-77.071196,['L2']
1002636,1002636,5TH ST NW + LONGFELLOW ST NW,38.95763,-77.020014,"['62', '62*S1', '63']"
1002637,1002637,NEW HAMPSHIRE AVE NE + LONGFELLOW ST NE,38.957752,-77.008494,"['K6', 'K6*2']"
1002638,1002638,N CAPITOL ST NW + LONGFELLOW ST NW,38.957841,-77.009152,['K2']
1002639,1002639,CONNECTICUT AVE NW + HUNTINGTON ST NW,38.957885,-77.071613,['L2']
1002640,1002640,GEORGIA AVE NW + MADISON ST NW,38.958207,-77.028125,['70']
1002641,1002641,NEBRASKA AVE NW + INGOMAR PL NW,38.958168,-77.068511,"['D31', 'D33', 'D34', 'M4*1', 'W45']"
1002642,1002642,N CAPITOL ST NW + MADISON ST NE,38.95854,-77.008955,['K2']
1002643,1002643,RIGGS RD NE + CHILLUM PL NE,38.958501,-77.001173,"['E4', 'R1', 'R2']"
1002644,1002644,NEBRASKA AVE NW + INGOMAR PL NW,38.9585,-77.06842,"['D31', 'D33', 'D34', 'M4', 'M4/', 'W45']"
1002645,1002645,GEORGIA AVE NW + MADISON ST NW,38.958498,-77.028343,['70']
1002646,1002646,WISCONSIN AVE NW + JENIFER ST NW,38.958509,-77.084706,"['30N', '30S', '31', '33']"
1002647,1002647,5TH ST NW + MADISON ST NW,38.958624,-77.01983,"['62', '63']"
1002648,1002648,WISCONSIN AVE NW + JENIFER ST NW,38.958917,-77.084663,"['30N', '30S', '31', '33']"
1002649,1002649,NEW HAMPSHIRE AVE NE + MADISON ST NE,38.958838,-77.007686,"['K6', 'K6*2']"
1002650,1002650,NEW HAMPSHIRE AVE NE + MADISON ST NE,38.958937,-77.007424,['K6']
1002652,1002652,RIGGS RD NE + CHILLUM PL NE,38.958919,-77.001144,"['E4', 'R1', 'R2', 'R2*2']"
1002653,1002653,NEBRASKA AVE NW + NEVADA AVE NW,38.959246,-77.067583,"['D31', 'D33', 'D34', 'M4*1', 'W45']"
1002654,1002654,14TH ST NW + MONTAGUE ST NW,38.959164,-77.033334,"['52', '54', '54*S', 'D34', 'E4', 'E4*1', 'W45']"
1002655,1002655,NICHOLSON ST NE + 6TH ST NE,38.959313,-76.997641,['E4']
1002656,1002656,14TH ST NW + MONTAGUE ST NW,38.959407,-77.033524,"['52', '54', 'D34', 'E4', 'E4/', 'W45']"
1002657,1002657,CONNECTICUT AVE NW + JOCELYN ST NW,38.959503,-77.07231,['L2']
1002658,1002658,NEBRASKA AVE NW + NEVADA AVE NW,38.959559,-77.06751,"['D31', 'D33', 'D34', 'M4', 'M4/', 'W45']"
1002659,1002659,CONNECTICUT AVE NW + JOCELYN ST NW,38.959795,-77.072724,['L2']
1002661,1002661,5TH ST NW + NICHOLSON ST NW,38.960085,-77.019838,"['62', '63']"
1002662,1002662,BLAIR RD NW + NICHOLSON ST NW,38.960307,-77.0092,['K2']
1002663,1002663,RIGGS RD NE + NICHOLSON ST NE,38.960265,-77.000058,"['E4', 'R1', 'R2', 'R2*2']"
1002664,1002664,5TH ST NW + NICHOLSON ST NW,38.960293,-77.019966,"['62', '62*S1', '63']"
1002666,1002666,14TH ST NW + NICHOLSON ST NW,38.960357,-77.033526,"['52', '54', 'D34', 'E4', 'E4/', 'W45']"
1002667,1002667,14TH ST NW + NICHOLSON ST NW,38.960507,-77.033337,"['52', '54', '54*S', 'D34', 'E4', 'E4*1', 'W45']"
1002668,1002668,NICHOLSON ST NE + RIGGS RD NE,38.96073,-76.998881,['E4']
1002669,1002669,NEBRASKA AVE NW + BROAD BRANCH RD NW,38.960698,-77.066344,"['D31', 'D33', 'D34', 'M4*1', 'W45']"
1002670,1002670,RIGGS RD NE + NICHOLSON ST NE,38.960749,-76.999209,"['R1', 'R2']"
1002671,1002671,NEBRASKA AVE NW + MILITARY RD NW,38.960772,-77.06647,"['D31', 'D33', 'D34', 'M4', 'M4/', 'W45']"
1002672,1002672,CONNECTICUT AVE NW + MILITARY RD NW,38.960878,-77.073103,['L2']
1002673,1002673,BLAIR RD NW + OGLETHORPE ST NW,38.961019,-77.009737,['K2']
1002674,1002674,MILITARY RD NW + 28TH ST NW,38.961081,-77.057242,"['D31', 'D33', 'D34', 'E4', 'E4*1', 'W45']"
1002675,1002675,MILITARY RD NW + 32ND ST NW,38.96096,-77.064211,"['D31', 'D33', 'D34', 'M4*1', 'W45']"
1002676,1002676,MILITARY RD NW + 31ST ST NW,38.960961,-77.062344,"['D31', 'D33', 'D34', 'M4*1', 'W45']"
1002677,1002677,MILITARY RD NW + 27TH ST NW,38.960907,-77.055849,"['D31', 'D33', 'D34', 'E4', 'E4/', 'W45']"
1002678,1002678,MILITARY RD NW + 29TH ST NW,38.960963,-77.058957,"['D31', 'D33', 'D34', 'E4', 'E4/', 'W45']"
1002679,1002679,MILITARY RD NW + 27TH ST NW,38.96114,-77.055996,"['D31', 'D33', 'D34', 'E4', 'E4*1', 'W45']"
1002680,1002680,RIGGS RD NE + 6TH ST NE,38.961095,-76.998916,"['R1', 'R2', 'R2*2']"
1002681,1002681,MILITARY RD NW + 32ND ST NW,38.961086,-77.063751,"['D31', 'D33', 'D34', 'M4', 'M4/', 'W45']"
1002682,1002682,MILITARY RD NW + 31ST ST NW,38.96109,-77.062438,"['D31', 'D33', 'D34', 'M4', 'M4/', 'W45']"
1002683,1002683,5TH ST NW + OGLETHORPE ST NW,38.961228,-77.019837,"['62', '63']"
1002684,1002684,BLAIR RD NW + OGLETHORPE ST NW,38.961262,-77.009681,['K2']
1002685,1002685,CONNECTICUT AVE NW + MILITARY RD NW,38.961197,-77.073543,['L2']
1002686,1002686,14TH ST NW + MISSOURI AVE NW,38.961351,-77.033333,"['52', '54', '54*S', '59', 'D34', 'E4', 'E4*1', 'S2*2', 'W45']"
1002687,1002687,MISSOURI AVE NW + 14TH ST NW SOUTHBOUND,38.961252,-77.033524,"['52', '54', '59', 'D34', 'E4', 'E4/', 'W45']"
1002688,1002688,30TH PL NW + MILITARY RD NW,38.961171,-77.061028,"['E4', 'E4/', 'M4', 'M4/']"
1002689,1002689,MILITARY RD NW + OREGON AVE,38.96158,-77.053209,"['D31', 'D33', 'D34', 'E4', 'E4*1', 'W45']"
1002690,1002690,5TH ST NW + OGLETHORPE ST NW,38.961462,-77.019964,"['62', '62*S1', '63']"
